Topic,16,15,15,14,14,18,18,17,17,16,37,36,36,35,35,38,38,37,18,16,37,14,14,15,15,16,17,17,18,35,35,36,36,37,38,38,18,16,37,14,14,15,15,16,17,17,18,35,35,36,36,37,38,38,16,18,37,14,14,15,15,16,17,17,18,35,35,36,36,37,38,38,16,18,37,14,14,15,15,16,17,17,18,35,35,36,36,37,38,38,16,18,37,14,14,15,15,16,17,17,18,35,35,36,36,37,38,38,16,18,37,14,14,15,15,16,17,17,18,35,35,36,36,37,38,38,16,18,37,14,14,15,15,16,17,17,18,35,35,36,36,37,38,38,16,18,37,14,14,15,15,16,17,17,18,35,35,36,36,37,38,38,16,18,37,14,14,15,15,16,17,17,18,35,35,36,36,37,38,38,TAKE
Teddy Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,Y
Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,Y
Goldfish,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,Y
Hen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,5.0,1.0,1.0,2.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,5.0,5.0,3.0,Y
Teddy Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,N
Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,N
Goldfish,5.0,1.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
