model,scene,genome_mode,n_opt,baseline_fail,fail_rate,asr_bbox,asr_bbox_empty,asr_bbox_empty_malformed,asr_bbox_value,asr_bbox_empty_value,asr_bbox_empty_malformed_value,ssim,ned,swtd
qwen,MC,text,80,0.200 (20/100),0.2,0.113 (9/80),0.175 (14/80),0.388 (31/80),0.1125,0.175,0.3875,---,$0.277 \pm 0.126$,$0.413 \pm 0.164$
qwen,SC-MI,multi,94,0.060 (6/100),0.06,0.585 (55/94),0.745 (70/94),0.926 (87/94),0.5851063829787234,0.7446808510638298,0.925531914893617,$0.942 \pm 0.058$,$0.205 \pm 0.176$,$0.792 \pm 0.165$
qwen,SC-MI,image,94,0.060 (6/100),0.06,0.085 (8/94),0.096 (9/94),0.255 (24/94),0.0851063829787234,0.09574468085106383,0.2553191489361702,$0.920 \pm 0.048$,---,$0.360 \pm 0.237$
qwen,SC-MI,text,94,0.060 (6/100),0.06,0.553 (52/94),0.819 (77/94),0.883 (83/94),0.5531914893617021,0.8191489361702128,0.8829787234042553,---,$0.330 \pm 0.105$,$0.595 \pm 0.201$
qwen,SC-SI,multi,95,0.050 (5/100),0.05,0.526 (50/95),0.895 (85/95),0.926 (88/95),0.5263157894736842,0.8947368421052632,0.9263157894736842,$0.958 \pm 0.050$,$0.224 \pm 0.168$,$0.813 \pm 0.159$
qwen,SC-SI,image,95,0.050 (5/100),0.05,0.042 (4/95),0.053 (5/95),0.063 (6/95),0.042105263157894736,0.05263157894736842,0.06315789473684211,$0.906 \pm 0.054$,---,$0.264 \pm 0.179$
qwen,SC-SI,text,95,0.050 (5/100),0.05,0.432 (41/95),0.937 (89/95),0.937 (89/95),0.43157894736842106,0.9368421052631579,0.9368421052631579,---,$0.352 \pm 0.100$,$0.602 \pm 0.146$
qwen,Driving,multi,10,0.821 (46/56),0.8214285714285714,0.600 (6/10),0.900 (9/10),1.000 (10/10),0.6,0.9,1.0,$0.957 \pm 0.038$,$0.002 \pm 0.001$,$0.884 \pm 0.191$
qwen,Driving,image,10,0.821 (46/56),0.8214285714285714,0.300 (3/10),0.300 (3/10),0.300 (3/10),0.3,0.3,0.3,$0.954 \pm 0.035$,---,$0.406 \pm 0.300$
qwen,Driving,text,10,0.821 (46/56),0.8214285714285714,0.700 (7/10),1.000 (10/10),1.000 (10/10),0.7,1.0,1.0,---,$0.085 \pm 0.141$,$0.848 \pm 0.258$
